USA	15259
Canada	1429
Mexico	12
Argentina	6
Brazil	22
Chile	6
Uruguay	21
Japan	3116
China	4094
Egypt	1
India	98
Israel	213
Kingdom of Saudi Arabia	5
South Korea	964
Qatar	1
Russian Federation	4
Singapore	99
Taiwan	576
Thailand	1
Vietnam	1
Austria	148
Belgium	263
Czech Republic	36
Denmark	82
Estonia	5
Finland	31
France	388
Germany	1664
Greece	116
Hungary	60
Ireland	89
Italy	58
Netherlands	374
Norway	12
Poland	64
Portugal	74
Romania	9
Spain	211
Sweden	288
Switzerland	460
Republic of Türkiye	43
United Kingdom	1487
Australia	376
